tianding = 180, fangwei = 0, ab = 4.37114e-08, y = -1, x = -4.37114e-08, z = 0
tianding = 180, fangwei = 7.5, ab = 4.37114e-08, y = -1, x = -4.33374e-08, z = 5.70548e-09
tianding = 180, fangwei = 15, ab = 4.37114e-08, y = -1, x = -4.2222e-08, z = 1.13133e-08
tianding = 180, fangwei = 22.5, ab = 4.37114e-08, y = -1, x = -4.03841e-08, z = 1.67276e-08
tianding = 180, fangwei = 30, ab = 4.37114e-08, y = -1, x = -3.78552e-08, z = 2.18557e-08
tianding = 180, fangwei = 37.5, ab = 4.37114e-08, y = -1, x = -3.46786e-08, z = 2.66098e-08
tianding = 180, fangwei = 45, ab = 4.37114e-08, y = -1, x = -3.09086e-08, z = 3.09086e-08
tianding = 180, fangwei = 52.5, ab = 4.37114e-08, y = -1, x = -2.66098e-08, z = 3.46786e-08
tianding = 180, fangwei = 60, ab = 4.37114e-08, y = -1, x = -2.18557e-08, z = 3.78552e-08
tianding = 180, fangwei = 67.5, ab = 4.37114e-08, y = -1, x = -1.67277e-08, z = 4.0384e-08
tianding = 180, fangwei = 75, ab = 4.37114e-08, y = -1, x = -1.13134e-08, z = 4.22219e-08
tianding = 180, fangwei = 82.5, ab = 4.37114e-08, y = -1, x = -5.70553e-09, z = 4.33374e-08
tianding = 180, fangwei = 90, ab = 4.37114e-08, y = -1, x = -5.54082e-14, z = 4.37114e-08
tianding = 180, fangwei = 97.5, ab = 4.37114e-08, y = -1, x = 5.70542e-09, z = 4.33374e-08
tianding = 180, fangwei = 105, ab = 4.37114e-08, y = -1, x = 1.13133e-08, z = 4.2222e-08
tianding = 180, fangwei = 112.5, ab = 4.37114e-08, y = -1, x = 1.67276e-08, z = 4.03841e-08
tianding = 180, fangwei = 120, ab = 4.37114e-08, y = -1, x = 2.18556e-08, z = 3.78552e-08
tianding = 180, fangwei = 127.5, ab = 4.37114e-08, y = -1, x = 2.66097e-08, z = 3.46786e-08
tianding = 180, fangwei = 135, ab = 4.37114e-08, y = -1, x = 3.09086e-08, z = 3.09087e-08
tianding = 180, fangwei = 142.5, ab = 4.37114e-08, y = -1, x = 3.46785e-08, z = 2.66099e-08
tianding = 180, fangwei = 150, ab = 4.37114e-08, y = -1, x = 3.78551e-08, z = 2.18558e-08
tianding = 180, fangwei = 157.5, ab = 4.37114e-08, y = -1, x = 4.0384e-08, z = 1.67277e-08
tianding = 180, fangwei = 165, ab = 4.37114e-08, y = -1, x = 4.22219e-08, z = 1.13134e-08
tianding = 180, fangwei = 172.5, ab = 4.37114e-08, y = -1, x = 4.33374e-08, z = 5.70558e-09
tianding = 180, fangwei = 180, ab = 4.37114e-08, y = -1, x = 4.37114e-08, z = 1.10816e-13
tianding = 180, fangwei = 187.5, ab = 4.37114e-08, y = -1, x = 4.33374e-08, z = -5.70537e-09
tianding = 180, fangwei = 195, ab = 4.37114e-08, y = -1, x = 4.2222e-08, z = -1.13132e-08
tianding = 180, fangwei = 202.5, ab = 4.37114e-08, y = -1, x = 4.03841e-08, z = -1.67275e-08
tianding = 180, fangwei = 210, ab = 4.37114e-08, y = -1, x = 3.78552e-08, z = -2.18556e-08
tianding = 180, fangwei = 217.5, ab = 4.37114e-08, y = -1, x = 3.46787e-08, z = -2.66097e-08
tianding = 180, fangwei = 225, ab = 4.37114e-08, y = -1, x = 3.09087e-08, z = -3.09085e-08
tianding = 180, fangwei = 232.5, ab = 4.37114e-08, y = -1, x = 2.66099e-08, z = -3.46785e-08
tianding = 180, fangwei = 240, ab = 4.37114e-08, y = -1, x = 2.18558e-08, z = -3.78551e-08
tianding = 180, fangwei = 247.5, ab = 4.37114e-08, y = -1, x = 1.67278e-08, z = -4.0384e-08
tianding = 180, fangwei = 255, ab = 4.37114e-08, y = -1, x = 1.13135e-08, z = -4.22219e-08
tianding = 180, fangwei = 262.5, ab = 4.37114e-08, y = -1, x = 5.70563e-09, z = -4.33374e-08
tianding = 180, fangwei = 270, ab = 4.37114e-08, y = -1, x = 1.66224e-13, z = -4.37114e-08
tianding = 180, fangwei = 277.5, ab = 4.37114e-08, y = -1, x = -5.7053e-09, z = -4.33375e-08
tianding = 180, fangwei = 285, ab = 4.37114e-08, y = -1, x = -1.13132e-08, z = -4.2222e-08
tianding = 180, fangwei = 292.5, ab = 4.37114e-08, y = -1, x = -1.67275e-08, z = -4.03841e-08
tianding = 180, fangwei = 300, ab = 4.37114e-08, y = -1, x = -2.18555e-08, z = -3.78553e-08
tianding = 180, fangwei = 307.5, ab = 4.37114e-08, y = -1, x = -2.66096e-08, z = -3.46787e-08
tianding = 180, fangwei = 315, ab = 4.37114e-08, y = -1, x = -3.09085e-08, z = -3.09088e-08
tianding = 180, fangwei = 322.5, ab = 4.37114e-08, y = -1, x = -3.46785e-08, z = -2.661e-08
tianding = 180, fangwei = 330, ab = 4.37114e-08, y = -1, x = -3.78551e-08, z = -2.18559e-08
tianding = 180, fangwei = 337.5, ab = 4.37114e-08, y = -1, x = -4.0384e-08, z = -1.67278e-08
tianding = 180, fangwei = 345, ab = 4.37114e-08, y = -1, x = -4.22219e-08, z = -1.13135e-08
tianding = 180, fangwei = 352.5, ab = 4.37114e-08, y = -1, x = -4.33374e-08, z = -5.70569e-09
tianding = 180, fangwei = 360, ab = 4.37114e-08, y = -1, x = -4.37114e-08, z = -2.21633e-13
tianding = 176.25, fangwei = 0, ab = 0.0654056, y = -0.997859, x = -0.0654056, z = 0
tianding = 176.25, fangwei = 7.5, ab = 0.0654056, y = -0.997859, x = -0.064846, z = 0.00853713
tianding = 176.25, fangwei = 15, ab = 0.0654056, y = -0.997859, x = -0.0631769, z = 0.0169282
tianding = 176.25, fangwei = 22.5, ab = 0.0654056, y = -0.997859, x = -0.0604269, z = 0.0250296
tianding = 176.25, fangwei = 30, ab = 0.0654056, y = -0.997859, x = -0.0566429, z = 0.0327028
tianding = 176.25, fangwei = 37.5, ab = 0.0654056, y = -0.997859, x = -0.0518897, z = 0.0398164
tianding = 176.25, fangwei = 45, ab = 0.0654056, y = -0.997859, x = -0.0462488, z = 0.0462487
tianding = 176.25, fangwei = 52.5, ab = 0.0654056, y = -0.997859, x = -0.0398164, z = 0.0518897
tianding = 176.25, fangwei = 60, ab = 0.0654056, y = -0.997859, x = -0.0327028, z = 0.0566429
tianding = 176.25, fangwei = 67.5, ab = 0.0654056, y = -0.997859, x = -0.0250297, z = 0.0604268
tianding = 176.25, fangwei = 75, ab = 0.0654056, y = -0.997859, x = -0.0169283, z = 0.0631769
tianding = 176.25, fangwei = 82.5, ab = 0.0654056, y = -0.997859, x = -0.00853721, z = 0.064846
tianding = 176.25, fangwei = 90, ab = 0.0654056, y = -0.997859, x = -8.29075e-08, z = 0.0654056
tianding = 176.25, fangwei = 97.5, ab = 0.0654056, y = -0.997859, x = 0.00853705, z = 0.064846
tianding = 176.25, fangwei = 105, ab = 0.0654056, y = -0.997859, x = 0.0169281, z = 0.063177
tianding = 176.25, fangwei = 112.5, ab = 0.0654056, y = -0.997859, x = 0.0250295, z = 0.0604269
tianding = 176.25, fangwei = 120, ab = 0.0654056, y = -0.997859, x = 0.0327027, z = 0.0566429
tianding = 176.25, fangwei = 127.5, ab = 0.0654056, y = -0.997859, x = 0.0398163, z = 0.0518898
tianding = 176.25, fangwei = 135, ab = 0.0654056, y = -0.997859, x = 0.0462486, z = 0.0462488
tianding = 176.25, fangwei = 142.5, ab = 0.0654056, y = -0.997859, x = 0.0518897, z = 0.0398165
tianding = 176.25, fangwei = 150, ab = 0.0654056, y = -0.997859, x = 0.0566428, z = 0.0327029
tianding = 176.25, fangwei = 157.5, ab = 0.0654056, y = -0.997859, x = 0.0604268, z = 0.0250298
tianding = 176.25, fangwei = 165, ab = 0.0654056, y = -0.997859, x = 0.0631769, z = 0.0169283
tianding = 176.25, fangwei = 172.5, ab = 0.0654056, y = -0.997859, x = 0.064846, z = 0.00853729
tianding = 176.25, fangwei = 180, ab = 0.0654056, y = -0.997859, x = 0.0654056, z = 1.65815e-07
tianding = 176.25, fangwei = 187.5, ab = 0.0654056, y = -0.997859, x = 0.064846, z = -0.00853697
tianding = 176.25, fangwei = 195, ab = 0.0654056, y = -0.997859, x = 0.063177, z = -0.016928
tianding = 176.25, fangwei = 202.5, ab = 0.0654056, y = -0.997859, x = 0.0604269, z = -0.0250295
tianding = 176.25, fangwei = 210, ab = 0.0654056, y = -0.997859, x = 0.056643, z = -0.0327026
tianding = 176.25, fangwei = 217.5, ab = 0.0654056, y = -0.997859, x = 0.0518899, z = -0.0398162
tianding = 176.25, fangwei = 225, ab = 0.0654056, y = -0.997859, x = 0.0462489, z = -0.0462486
tianding = 176.25, fangwei = 232.5, ab = 0.0654056, y = -0.997859, x = 0.0398166, z = -0.0518896
tianding = 176.25, fangwei = 240, ab = 0.0654056, y = -0.997859, x = 0.032703, z = -0.0566428
tianding = 176.25, fangwei = 247.5, ab = 0.0654056, y = -0.997859, x = 0.0250298, z = -0.0604268
tianding = 176.25, fangwei = 255, ab = 0.0654056, y = -0.997859, x = 0.0169284, z = -0.0631769
tianding = 176.25, fangwei = 262.5, ab = 0.0654056, y = -0.997859, x = 0.00853737, z = -0.064846
tianding = 176.25, fangwei = 270, ab = 0.0654056, y = -0.997859, x = 2.48723e-07, z = -0.0654056
tianding = 176.25, fangwei = 277.5, ab = 0.0654056, y = -0.997859, x = -0.00853688, z = -0.064846
tianding = 176.25, fangwei = 285, ab = 0.0654056, y = -0.997859, x = -0.016928, z = -0.063177
tianding = 176.25, fangwei = 292.5, ab = 0.0654056, y = -0.997859, x = -0.0250294, z = -0.060427
tianding = 176.25, fangwei = 300, ab = 0.0654056, y = -0.997859, x = -0.0327026, z = -0.056643
tianding = 176.25, fangwei = 307.5, ab = 0.0654056, y = -0.997859, x = -0.0398161, z = -0.0518899
tianding = 176.25, fangwei = 315, ab = 0.0654056, y = -0.997859, x = -0.0462485, z = -0.0462489
tianding = 176.25, fangwei = 322.5, ab = 0.0654056, y = -0.997859, x = -0.0518896, z = -0.0398166
tianding = 176.25, fangwei = 330, ab = 0.0654056, y = -0.997859, x = -0.0566427, z = -0.032703
tianding = 176.25, fangwei = 337.5, ab = 0.0654056, y = -0.997859, x = -0.0604267, z = -0.0250299
tianding = 176.25, fangwei = 345, ab = 0.0654056, y = -0.997859, x = -0.0631769, z = -0.0169285
tianding = 176.25, fangwei = 352.5, ab = 0.0654056, y = -0.997859, x = -0.064846, z = -0.00853745
tianding = 176.25, fangwei = 360, ab = 0.0654056, y = -0.997859, x = -0.0654056, z = -3.3163e-07
tianding = 172.5, fangwei = 0, ab = 0.130528, y = -0.991445, x = -0.130528, z = 0
tianding = 172.5, fangwei = 7.5, ab = 0.130528, y = -0.991445, x = -0.129412, z = 0.0170373
tianding = 172.5, fangwei = 15, ab = 0.130528, y = -0.991445, x = -0.126081, z = 0.0337832
tianding = 172.5, fangwei = 22.5, ab = 0.130528, y = -0.991445, x = -0.120592, z = 0.049951
tianding = 172.5, fangwei = 30, ab = 0.130528, y = -0.991445, x = -0.113041, z = 0.0652641
tianding = 172.5, fangwei = 37.5, ab = 0.130528, y = -0.991445, x = -0.103555, z = 0.0794605
tianding = 172.5, fangwei = 45, ab = 0.130528, y = -0.991445, x = -0.0922975, z = 0.0922974
tianding = 172.5, fangwei = 52.5, ab = 0.130528, y = -0.991445, x = -0.0794606, z = 0.103555
tianding = 172.5, fangwei = 60, ab = 0.130528, y = -0.991445, x = -0.0652642, z = 0.113041
tianding = 172.5, fangwei = 67.5, ab = 0.130528, y = -0.991445, x = -0.0499511, z = 0.120592
tianding = 172.5, fangwei = 75, ab = 0.130528, y = -0.991445, x = -0.0337833, z = 0.126081
tianding = 172.5, fangwei = 82.5, ab = 0.130528, y = -0.991445, x = -0.0170375, z = 0.129412
tianding = 172.5, fangwei = 90, ab = 0.130528, y = -0.991445, x = -1.65456e-07, z = 0.130528
tianding = 172.5, fangwei = 97.5, ab = 0.130528, y = -0.991445, x = 0.0170372, z = 0.129412
tianding = 172.5, fangwei = 105, ab = 0.130528, y = -0.991445, x = 0.033783, z = 0.126081
tianding = 172.5, fangwei = 112.5, ab = 0.130528, y = -0.991445, x = 0.0499508, z = 0.120592
tianding = 172.5, fangwei = 120, ab = 0.130528, y = -0.991445, x = 0.0652639, z = 0.113041
tianding = 172.5, fangwei = 127.5, ab = 0.130528, y = -0.991445, x = 0.0794604, z = 0.103555
tianding = 172.5, fangwei = 135, ab = 0.130528, y = -0.991445, x = 0.0922972, z = 0.0922976
tianding = 172.5, fangwei = 142.5, ab = 0.130528, y = -0.991445, x = 0.103555, z = 0.0794608
tianding = 172.5, fangwei = 150, ab = 0.130528, y = -0.991445, x = 0.113041, z = 0.0652643
tianding = 172.5, fangwei = 157.5, ab = 0.130528, y = -0.991445, x = 0.120592, z = 0.0499513
tianding = 172.5, fangwei = 165, ab = 0.130528, y = -0.991445, x = 0.126081, z = 0.0337835
tianding = 172.5, fangwei = 172.5, ab = 0.130528, y = -0.991445, x = 0.129412, z = 0.0170377
tianding = 172.5, fangwei = 180, ab = 0.130528, y = -0.991445, x = 0.130528, z = 3.30913e-07
tianding = 172.5, fangwei = 187.5, ab = 0.130528, y = -0.991445, x = 0.129412, z = -0.017037
tianding = 172.5, fangwei = 195, ab = 0.130528, y = -0.991445, x = 0.126081, z = -0.0337828
tianding = 172.5, fangwei = 202.5, ab = 0.130528, y = -0.991445, x = 0.120593, z = -0.0499507
tianding = 172.5, fangwei = 210, ab = 0.130528, y = -0.991445, x = 0.113041, z = -0.0652638
tianding = 172.5, fangwei = 217.5, ab = 0.130528, y = -0.991445, x = 0.103555, z = -0.0794602
tianding = 172.5, fangwei = 225, ab = 0.130528, y = -0.991445, x = 0.0922977, z = -0.0922971
tianding = 172.5, fangwei = 232.5, ab = 0.130528, y = -0.991445, x = 0.0794609, z = -0.103555
tianding = 172.5, fangwei = 240, ab = 0.130528, y = -0.991445, x = 0.0652645, z = -0.113041
tianding = 172.5, fangwei = 247.5, ab = 0.130528, y = -0.991445, x = 0.0499514, z = -0.120592
tianding = 172.5, fangwei = 255, ab = 0.130528, y = -0.991445, x = 0.0337837, z = -0.12608
tianding = 172.5, fangwei = 262.5, ab = 0.130528, y = -0.991445, x = 0.0170378, z = -0.129412
tianding = 172.5, fangwei = 270, ab = 0.130528, y = -0.991445, x = 4.96369e-07, z = -0.130528
tianding = 172.5, fangwei = 277.5, ab = 0.130528, y = -0.991445, x = -0.0170368, z = -0.129412
tianding = 172.5, fangwei = 285, ab = 0.130528, y = -0.991445, x = -0.0337827, z = -0.126081
tianding = 172.5, fangwei = 292.5, ab = 0.130528, y = -0.991445, x = -0.0499505, z = -0.120593
tianding = 172.5, fangwei = 300, ab = 0.130528, y = -0.991445, x = -0.0652637, z = -0.113041
tianding = 172.5, fangwei = 307.5, ab = 0.130528, y = -0.991445, x = -0.0794601, z = -0.103555
tianding = 172.5, fangwei = 315, ab = 0.130528, y = -0.991445, x = -0.092297, z = -0.0922978
tianding = 172.5, fangwei = 322.5, ab = 0.130528, y = -0.991445, x = -0.103555, z = -0.079461
tianding = 172.5, fangwei = 330, ab = 0.130528, y = -0.991445, x = -0.11304, z = -0.0652646
tianding = 172.5, fangwei = 337.5, ab = 0.130528, y = -0.991445, x = -0.120592, z = -0.0499516
tianding = 172.5, fangwei = 345, ab = 0.130528, y = -0.991445, x = -0.12608, z = -0.0337838
tianding = 172.5, fangwei = 352.5, ab = 0.130528, y = -0.991445, x = -0.129411, z = -0.017038
tianding = 172.5, fangwei = 360, ab = 0.130528, y = -0.991445, x = -0.130528, z = -6.61826e-07
tianding = 168.75, fangwei = 0, ab = 0.195093, y = -0.980785, x = -0.195093, z = 0
tianding = 168.75, fangwei = 7.5, ab = 0.195093, y = -0.980785, x = -0.193424, z = 0.0254647
tianding = 168.75, fangwei = 15, ab = 0.195093, y = -0.980785, x = -0.188445, z = 0.0504937
tianding = 168.75, fangwei = 22.5, ab = 0.195093, y = -0.980785, x = -0.180242, z = 0.0746587
